# hostname,interval,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle
raspberrypi,1,2020-07-25 00:59:02 UTC,-1,7.04,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,92.21
raspberrypi,1,2020-07-25 00:59:03 UTC,-1,3.08,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,95.12
raspberrypi,1,2020-07-25 00:59:04 UTC,-1,2.56,0.00,1.54,0.00,0.00,0.00,1.03,0.00,0.00,94.87
raspberrypi,1,2020-07-25 00:59:05 UTC,-1,2.63,0.00,2.89,0.00,0.00,0.00,0.53,0.00,0.00,93.95
raspberrypi,1,2020-07-25 00:59:06 UTC,-1,1.81,0.00,5.96,3.89,0.00,0.00,2.07,0.00,0.00,86.27
raspberrypi,1,2020-07-25 00:59:07 UTC,-1,3.04,0.00,6.08,0.00,0.00,0.00,1.77,0.00,0.00,89.11
raspberrypi,1,2020-07-25 00:59:08 UTC,-1,1.79,0.00,6.65,0.00,0.00,0.00,1.02,0.00,0.00,90.54
raspberrypi,1,2020-07-25 00:59:09 UTC,-1,2.01,0.00,8.52,0.00,0.00,0.00,1.00,0.00,0.00,88.47
raspberrypi,1,2020-07-25 00:59:10 UTC,-1,1.82,0.00,5.73,0.00,0.00,0.00,1.30,0.00,0.00,91.15
raspberrypi,1,2020-07-25 00:59:11 UTC,-1,1.81,0.00,5.70,0.26,0.00,0.00,0.52,0.00,0.00,91.71
raspberrypi,1,2020-07-25 00:59:12 UTC,-1,3.58,0.00,3.58,0.00,0.00,0.00,0.77,0.00,0.00,92.07
raspberrypi,1,2020-07-25 00:59:13 UTC,-1,2.31,0.00,6.15,0.00,0.00,0.00,0.00,0.00,0.00,91.54
raspberrypi,1,2020-07-25 00:59:14 UTC,-1,1.53,0.00,6.12,0.00,0.00,0.00,0.77,0.00,0.00,91.58
raspberrypi,1,2020-07-25 00:59:15 UTC,-1,2.05,0.00,7.69,0.00,0.00,0.00,0.51,0.00,0.00,89.74
raspberrypi,1,2020-07-25 00:59:16 UTC,-1,2.35,0.00,4.70,0.26,0.00,0.00,0.26,0.00,0.00,92.43
raspberrypi,1,2020-07-25 00:59:17 UTC,-1,3.43,0.00,4.75,0.00,0.00,0.00,0.79,0.00,0.00,91.03
raspberrypi,1,2020-07-25 00:59:18 UTC,-1,2.62,0.00,4.45,0.00,0.00,0.00,0.52,0.00,0.00,92.41
raspberrypi,1,2020-07-25 00:59:19 UTC,-1,2.66,0.00,3.72,0.00,0.00,0.00,0.53,0.00,0.00,93.09
raspberrypi,1,2020-07-25 00:59:20 UTC,-1,2.90,0.00,2.64,0.00,0.00,0.00,1.06,0.00,0.00,93.40
raspberrypi,1,2020-07-25 00:59:21 UTC,-1,2.44,0.00,10.51,14.67,0.00,0.00,2.44,0.00,0.00,69.93
raspberrypi,1,2020-07-25 00:59:22 UTC,-1,3.53,0.00,6.55,19.14,0.00,0.00,2.77,0.00,0.00,68.01
raspberrypi,1,2020-07-25 00:59:23 UTC,-1,1.79,0.00,2.81,0.00,0.00,0.00,1.79,0.00,0.00,93.61
raspberrypi,1,2020-07-25 00:59:24 UTC,-1,3.63,0.00,4.40,0.00,0.00,0.00,0.78,0.00,0.00,91.19
raspberrypi,1,2020-07-25 00:59:25 UTC,-1,5.40,0.00,2.06,0.00,0.00,0.00,1.29,0.00,0.00,91.26
raspberrypi,1,2020-07-25 00:59:26 UTC,-1,2.54,0.00,4.31,0.00,0.00,0.00,1.27,0.00,0.00,91.88
raspberrypi,1,2020-07-25 00:59:27 UTC,-1,3.32,0.00,4.34,0.00,0.00,0.00,0.26,0.00,0.00,92.09
raspberrypi,1,2020-07-25 00:59:28 UTC,-1,1.51,0.00,6.30,0.00,0.00,0.00,2.52,0.00,0.00,89.67
raspberrypi,1,2020-07-25 00:59:29 UTC,-1,2.31,0.00,3.86,0.00,0.00,0.00,0.26,0.00,0.00,93.57
raspberrypi,1,2020-07-25 00:59:30 UTC,-1,2.36,0.00,4.97,0.00,0.00,0.00,0.00,0.00,0.00,92.67
raspberrypi,1,2020-07-25 00:59:31 UTC,-1,2.41,0.00,2.14,0.00,0.00,0.00,0.27,0.00,0.00,95.17
raspberrypi,1,2020-07-25 00:59:32 UTC,-1,3.68,0.00,3.16,0.00,0.00,0.00,0.00,0.00,0.00,93.16
raspberrypi,1,2020-07-25 00:59:33 UTC,-1,3.19,0.00,5.05,0.27,0.00,0.00,1.33,0.00,0.00,90.16
raspberrypi,1,2020-07-25 00:59:34 UTC,-1,1.83,0.00,3.93,0.00,0.00,0.00,1.31,0.00,0.00,92.93
raspberrypi,1,2020-07-25 00:59:35 UTC,-1,2.61,0.00,5.22,0.00,0.00,0.00,1.31,0.00,0.00,90.86
raspberrypi,1,2020-07-25 00:59:36 UTC,-1,1.76,0.00,7.05,0.00,0.00,0.00,2.02,0.00,0.00,89.17
raspberrypi,1,2020-07-25 00:59:37 UTC,-1,3.58,0.00,3.07,0.00,0.00,0.00,0.51,0.00,0.00,92.84
raspberrypi,1,2020-07-25 00:59:38 UTC,-1,2.33,0.00,4.66,0.00,0.00,0.00,0.78,0.00,0.00,92.23
raspberrypi,1,2020-07-25 00:59:39 UTC,-1,1.83,0.00,2.87,0.00,0.00,0.00,1.04,0.00,0.00,94.26
raspberrypi,1,2020-07-25 00:59:40 UTC,-1,2.83,0.00,6.68,0.00,0.00,0.00,0.26,0.00,0.00,90.23
raspberrypi,1,2020-07-25 00:59:41 UTC,-1,5.09,0.00,5.85,0.00,0.00,0.00,1.02,0.00,0.00,88.04
raspberrypi,1,2020-07-25 00:59:42 UTC,-1,0.25,0.00,6.08,0.00,0.00,0.00,0.51,0.00,0.00,93.16
raspberrypi,1,2020-07-25 00:59:43 UTC,-1,1.82,0.00,5.19,0.52,0.00,0.00,0.00,0.00,0.00,92.47
raspberrypi,1,2020-07-25 00:59:44 UTC,-1,1.30,0.00,3.37,0.00,0.00,0.00,0.78,0.00,0.00,94.56
raspberrypi,1,2020-07-25 00:59:45 UTC,-1,1.31,0.00,5.24,0.00,0.00,0.00,0.79,0.00,0.00,92.67
raspberrypi,1,2020-07-25 00:59:46 UTC,-1,1.32,0.00,3.17,0.00,0.00,0.00,0.79,0.00,0.00,94.72
raspberrypi,1,2020-07-25 00:59:47 UTC,-1,2.26,0.00,4.02,0.00,0.00,0.00,1.26,0.00,0.00,92.46
raspberrypi,1,2020-07-25 00:59:48 UTC,-1,0.79,0.00,4.20,0.26,0.00,0.00,2.10,0.00,0.00,92.65
raspberrypi,1,2020-07-25 00:59:49 UTC,-1,1.52,0.00,5.33,0.00,0.00,0.00,2.54,0.00,0.00,90.61
raspberrypi,1,2020-07-25 00:59:50 UTC,-1,1.53,0.00,4.85,0.00,0.00,0.00,2.30,0.00,0.00,91.33
raspberrypi,1,2020-07-25 00:59:51 UTC,-1,1.27,0.00,6.58,0.00,0.00,0.00,1.77,0.00,0.00,90.38
raspberrypi,1,2020-07-25 00:59:52 UTC,-1,2.06,0.00,4.37,0.00,0.00,0.00,0.77,0.00,0.00,92.80
raspberrypi,1,2020-07-25 00:59:53 UTC,-1,1.03,0.00,4.91,0.00,0.00,0.00,0.26,0.00,0.00,93.80
raspberrypi,1,2020-07-25 00:59:54 UTC,-1,1.29,0.00,6.43,0.00,0.00,0.00,0.26,0.00,0.00,92.03
raspberrypi,1,2020-07-25 00:59:55 UTC,-1,0.78,0.00,6.22,0.00,0.00,0.00,0.26,0.00,0.00,92.75
raspberrypi,1,2020-07-25 00:59:56 UTC,-1,0.77,0.00,6.68,0.00,0.00,0.00,0.00,0.00,0.00,92.54
raspberrypi,1,2020-07-25 00:59:57 UTC,-1,2.05,0.00,7.16,0.00,0.00,0.00,0.26,0.00,0.00,90.54
raspberrypi,1,2020-07-25 00:59:58 UTC,-1,1.27,0.00,5.06,0.25,0.00,0.00,1.27,0.00,0.00,92.15
raspberrypi,1,2020-07-25 00:59:59 UTC,-1,1.05,0.00,3.67,0.00,0.00,0.00,0.26,0.00,0.00,95.01
raspberrypi,1,2020-07-25 01:00:00 UTC,-1,1.08,0.00,2.42,0.00,0.00,0.00,0.00,0.00,0.00,96.51
raspberrypi,1,2020-07-25 01:00:01 UTC,-1,0.77,0.00,3.07,0.00,0.00,0.00,0.77,0.00,0.00,95.40
raspberrypi,1,2020-07-25 01:00:02 UTC,-1,1.56,0.00,3.64,0.00,0.00,0.00,0.52,0.00,0.00,94.29
raspberrypi,1,2020-07-25 01:00:03 UTC,-1,1.25,0.00,6.27,0.25,0.00,0.00,3.76,0.00,0.00,88.47
raspberrypi,1,2020-07-25 01:00:04 UTC,-1,0.99,0.00,7.67,0.00,0.00,0.00,1.49,0.00,0.00,89.85
raspberrypi,1,2020-07-25 01:00:05 UTC,-1,1.27,0.00,6.33,0.00,0.00,0.00,1.52,0.00,0.00,90.89
raspberrypi,1,2020-07-25 01:00:06 UTC,-1,1.55,0.00,6.98,0.00,0.00,0.00,0.78,0.00,0.00,90.70
raspberrypi,1,2020-07-25 01:00:07 UTC,-1,2.09,0.00,4.18,0.00,0.00,0.00,0.00,0.00,0.00,93.73
