# hostname,interval,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle
raspberrypi,1,2020-07-25 01:23:00 UTC,-1,5.09,0.00,1.02,0.00,0.00,0.00,0.25,0.00,0.00,93.64
raspberrypi,1,2020-07-25 01:23:01 UTC,-1,4.80,0.00,5.30,0.00,0.00,0.00,0.25,0.00,0.00,89.65
raspberrypi,1,2020-07-25 01:23:02 UTC,-1,7.61,0.00,4.57,0.00,0.00,0.00,0.51,0.00,0.00,87.31
raspberrypi,1,2020-07-25 01:23:03 UTC,-1,2.26,0.00,7.04,0.00,0.00,0.00,1.26,0.00,0.00,89.45
raspberrypi,1,2020-07-25 01:23:04 UTC,-1,3.12,0.00,5.47,0.00,0.00,0.00,0.00,0.00,0.00,91.41
raspberrypi,1,2020-07-25 01:23:05 UTC,-1,3.92,0.00,2.87,0.00,0.00,0.00,0.26,0.00,0.00,92.95
raspberrypi,1,2020-07-25 01:23:06 UTC,-1,1.31,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,96.60
raspberrypi,1,2020-07-25 01:23:07 UTC,-1,1.28,0.00,1.79,0.00,0.00,0.00,0.26,0.00,0.00,96.67
raspberrypi,1,2020-07-25 01:23:08 UTC,-1,1.03,0.00,4.38,0.00,0.00,0.00,0.77,0.00,0.00,93.81
raspberrypi,1,2020-07-25 01:23:09 UTC,-1,1.76,0.00,5.79,0.00,0.00,0.00,1.26,0.00,0.00,91.18
raspberrypi,1,2020-07-25 01:23:10 UTC,-1,1.77,0.00,3.29,0.76,0.00,0.00,0.76,0.00,0.00,93.42
raspberrypi,1,2020-07-25 01:23:11 UTC,-1,1.27,0.00,6.58,0.00,0.00,0.00,2.28,0.00,0.00,89.87
raspberrypi,1,2020-07-25 01:23:12 UTC,-1,1.29,0.00,3.62,0.00,0.00,0.00,0.52,0.00,0.00,94.57
raspberrypi,1,2020-07-25 01:23:13 UTC,-1,1.55,0.00,3.62,0.00,0.00,0.00,1.03,0.00,0.00,93.80
raspberrypi,1,2020-07-25 01:23:14 UTC,-1,0.76,0.00,5.05,0.00,0.00,0.00,1.01,0.00,0.00,93.18
raspberrypi,1,2020-07-25 01:23:15 UTC,-1,2.05,0.00,6.15,1.03,0.00,0.00,1.28,0.00,0.00,89.49
raspberrypi,1,2020-07-25 01:23:16 UTC,-1,1.53,0.00,4.60,0.00,0.00,0.00,0.51,0.00,0.00,93.35
raspberrypi,1,2020-07-25 01:23:17 UTC,-1,0.51,0.00,6.14,0.00,0.00,0.00,0.51,0.00,0.00,92.84
raspberrypi,1,2020-07-25 01:23:18 UTC,-1,1.27,0.00,6.36,0.00,0.00,0.00,0.76,0.00,0.00,91.60
raspberrypi,1,2020-07-25 01:23:19 UTC,-1,0.79,0.00,4.46,0.00,0.00,0.00,0.00,0.00,0.00,94.75
raspberrypi,1,2020-07-25 01:23:20 UTC,-1,1.56,0.00,2.86,0.52,0.00,0.00,0.52,0.00,0.00,94.53
raspberrypi,1,2020-07-25 01:23:21 UTC,-1,0.75,0.00,4.76,0.00,0.00,0.00,1.75,0.00,0.00,92.73
raspberrypi,1,2020-07-25 01:23:22 UTC,-1,1.08,0.00,3.23,0.00,0.00,0.00,0.81,0.00,0.00,94.89
